iter	Passed	Remaining
586	211523	148822
587	211907	148479
588	212262	148115
589	212653	147776
590	213004	147409
591	213351	147039
592	213737	146697
593	214093	146333
594	214452	145971
595	214838	145628
596	215199	145268
597	215577	144920
598	215922	144549
599	216308	144205
600	216668	143844
601	217023	143480
602	217372	143112
603	217731	142750
604	218085	142386
605	218453	142030
606	218816	141672
607	219175	141310
608	219561	140966
609	219940	140617
610	220328	140274
611	220697	139919
612	221059	139559
613	221424	139201
614	221802	138852
615	222164	138491
616	222521	138129
617	222881	137768
618	223226	137398
619	223583	137034
620	223936	136669
621	224317	136321
622	224697	135972
623	225084	135627
624	225485	135291
625	225839	134926
626	226185	134556
627	226543	134194
628	226888	133824
629	227232	133453
630	227581	133086
631	227932	132720
632	228278	132351
633	228620	131979
634	228962	131608
635	229313	131242
636	229665	130876
637	230034	130521
638	230382	130153
639	230728	129784
640	231074	129416
641	231422	129048
642	231780	128686
643	232131	128320
644	232488	127959
645	232857	127603
646	233226	127247
647	233587	126887
648	233944	126524
649	234306	126165
650	234662	125802
651	235050	125456
652	235417	125099
653	235786	124743
654	236146	124382
655	236517	124027
656	236871	123663
657	237247	123311
658	237609	122951
659	237966	122588
660	238318	122223
